Best,Epoch,Trades,Avg profit,Median profit,Total profit,Stake currency,Profit,Avg duration,Trade count long,Trade count short,Max drawdown,Max drawdown percent,Objective,buy_rsi,sell_rsi,roi_t1,roi_t2,roi_t3,roi_p1,roi_p2,roi_p3,stoploss,trailing_stop,trailing_stop_positive,trailing_stop_positive_offset_p1,trailing_only_offset_is_reached
*,1,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,20,84,487,288,189,0.089,0.136,0.037,-0.021000000000000005,True,0.019,0.017,True
*,2,12,-2.49%,-2.2690920846531117,-0.07006847,EUR,-70.07,"1 day, 6:55:00",12,0,88.99807003000001,8.78%,108.00000,28,67,1226,508,201,0.057,0.136,0.394,-0.091,True,0.015,0.048,True
*,3,2,0.80%,0.8031566602074788,0.00381769,EUR,3.82,22:00:00,2,0,0.0,0.00%,118.00000,24,73,533,134,150,0.039,0.1,0.238,-0.08600000000000001,True,0.023000000000000003,0.035,True
*,4,27,-0.87%,0.00022883344286350727,-0.05607479,EUR,-56.07,23:20:00,27,0,81.72926016,8.09%,875.56289,29,71,937,661,282,0.037,0.149,0.451,-0.08800000000000001,True,0.012,0.017,True
*,5,292,-0.37%,0.00952815373236794,-0.23536124,EUR,-235.36,21:37:00,292,0,240.08381745999998,23.90%,"5,301.28256",41,71,767,196,316,0.025,0.11199999999999999,0.11599999999999999,-0.07600000000000001,True,0.007,0.019000000000000003,True
*,6,373,-0.21%,0.00024867538312712786,-0.19618579,EUR,-196.19,"1 day, 7:03:00",373,0,229.56358256000004,22.88%,"5,930.58983",45,74,1115,554,317,0.035,0.028,0.10800000000000001,-0.08800000000000001,True,0.012,0.044000000000000004,True
*,7,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,22,83,731,405,168,0.07100000000000001,0.133,0.162,-0.091,True,0.017,0.048,True
*,8,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,23,79,392,444,347,0.052000000000000005,0.095,0.23,-0.034,True,0.012,0.03,True
*,9,142,-0.40%,0.00016681107257032575,-0.13372841,EUR,-133.73,"1 day, 4:32:00",142,0,219.6534067499999,21.97%,"15,337,848.74018",36,82,704,624,194,0.053,0.037,0.066,-0.098,True,0.015,0.047,True
*,10,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,22,65,749,574,445,0.052000000000000005,0.027,0.29800000000000004,-0.083,True,0.02,0.037,True
*,11,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,75,1295,500,189,0.063,0.07400000000000001,0.275,-0.069,True,0.012,0.028000000000000004,True
*,12,451,-0.18%,0.02663247132901132,-0.18838591,EUR,-188.39,18:35:00,451,0,211.61804490999998,20.88%,"1,634.13468",44,66,284,406,210,0.068,0.136,0.193,-0.079,True,0.008,0.023,True
*,13,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,23,62,639,285,359,0.09,0.101,0.20199999999999999,-0.045000000000000005,True,0.027,0.028000000000000004,True
*,14,150,-0.23%,0.0002539091415049535,-0.08950096,EUR,-89.50,"1 day, 9:55:00",150,0,206.2474752899999,20.55%,"6,503.28607",37,70,1439,498,350,0.07200000000000001,0.10200000000000001,0.318,-0.082,True,0.007,0.041,True
*,15,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,84,205,599,272,0.069,0.08499999999999999,0.098,-0.037000000000000005,True,0.014000000000000002,0.046000000000000006,True
*,16,379,-0.33%,-1.9725403013709704,-0.26827998,EUR,-268.28,19:03:00,379,0,268.77854398999995,26.86%,"56,044.64535",42,76,885,662,321,0.049,0.07400000000000001,0.063,-0.02500000000000001,True,0.025,0.025,True
*,17,4,-0.31%,-1.3874911026592565,-0.00302869,EUR,-3.03,18:15:00,4,0,13.3250068,1.32%,116.00000,25,67,675,349,287,0.062,0.1,0.29200000000000004,-0.02600000000000001,True,0.025,0.028999999999999998,True
*,18,78,-0.56%,-7.180214566539575e-05,-0.10212750,EUR,-102.13,23:45:00,78,0,109.44771402000002,10.94%,inf,33,71,786,570,364,0.07500000000000001,0.059000000000000004,0.35300000000000004,-0.04000000000000001,True,0.015,0.05,True
*,19,305,-0.29%,0.0033997416196369077,-0.20786865,EUR,-207.87,"1 day, 4:14:00",305,0,209.42111407000007,20.91%,"13,888.26353",42,79,1141,299,311,0.03,0.1,0.43600000000000005,-0.09000000000000001,True,0.026000000000000002,0.043000000000000003,True
*,20,338,-0.25%,0.0002411965120883871,-0.19921699,EUR,-199.22,"1 day, 2:21:00",338,0,232.3131951200001,23.06%,"3,168.88465",43,70,1214,261,202,0.054,0.08399999999999999,0.43500000000000005,-0.060000000000000005,True,0.017,0.041,True
*,21,237,-0.33%,0.7387167348193442,-0.17659975,EUR,-176.60,21:56:00,237,0,176.5997495700002,17.66%,inf,39,66,1414,671,422,0.065,0.05,0.239,-0.042,True,0.009000000000000001,0.016,True
*,22,164,-0.26%,3.726652885565966e-06,-0.10117294,EUR,-101.17,16:22:00,164,0,146.89027523000001,14.69%,inf,36,85,889,323,394,0.087,0.10600000000000001,0.385,-0.028999999999999998,True,0.006,0.019000000000000003,True
*,23,340,-0.22%,0.3145589960517121,-0.17749361,EUR,-177.49,"1 day, 1:00:00",340,0,196.29337262999985,19.41%,"1,819.51480",43,65,1299,521,249,0.092,0.14100000000000001,0.183,-0.061000000000000006,True,0.01,0.024,True
*,24,343,-0.25%,0.01290269832469321,-0.20358090,EUR,-203.58,"1 day, 1:32:00",343,0,236.95383440000003,23.70%,inf,43,68,1226,212,214,0.032,0.158,0.339,-0.069,True,0.029,0.046000000000000006,True
*,25,37,-0.08%,1.9179511770256622e-05,-0.00935566,EUR,-9.36,17:52:00,37,0,50.23754947,5.01%,"2,640.57004",30,67,244,691,154,0.081,0.148,0.27,-0.05,True,0.006,0.039,True
*,26,11,-1.45%,-2.5686963134603458,-0.03730138,EUR,-37.30,12:49:00,11,0,42.240349560000006,4.20%,109.00000,27,71,228,405,439,0.041999999999999996,0.121,0.143,-0.024000000000000007,True,0.018000000000000002,0.043000000000000003,True
*,27,4,-2.30%,-2.687328305245283,-0.02201170,EUR,-22.01,"1 day, 7:30:00",4,0,26.92957493,2.68%,116.00000,25,85,1119,155,444,0.057,0.055,0.147,-0.057,True,0.006,0.042,True
*,28,288,-0.42%,0.00013167395348941788,-0.26232323,EUR,-262.32,22:03:00,288,0,262.58273885999995,26.26%,"1,692,050,321.67438",41,70,550,267,306,0.054,0.095,0.047,-0.07200000000000001,True,0.007,0.036000000000000004,True
*,29,4,-1.00%,0.007565453478462947,-0.00962847,EUR,-9.63,"1 day, 3:15:00",4,0,15.268008600000002,1.52%,116.00000,25,72,850,197,284,0.08499999999999999,0.086,0.248,-0.062000000000000006,True,0.009000000000000001,0.036000000000000004,True
*,30,268,-0.43%,0.00952815373236794,-0.25314737,EUR,-253.15,"1 day, 3:27:00",268,0,254.6998130499999,25.43%,"17,989.40666",41,79,1200,242,355,0.026,0.044,0.089,-0.08700000000000001,True,0.023000000000000003,0.034,True
,31,172,-0.15%,0.00020843009796325362,-0.06608418,EUR,-66.08,18:06:00,172,0,144.14798770000002,14.41%,inf,37,60,888,422,232,0.059000000000000004,0.136,0.41300000000000003,-0.037000000000000005,True,0.006,0.03,True
,32,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,76,796,169,140,0.07500000000000001,0.035,0.12,-0.069,True,0.02,0.016,True
,33,37,-0.14%,1.918125736910453e-05,-0.01456252,EUR,-14.56,22:18:00,37,0,79.39746479,7.90%,"1,497.34162",30,73,295,489,260,0.07200000000000001,0.119,0.34,-0.07800000000000001,True,0.03,0.039,True
,34,356,-0.21%,0.0002175076287430478,-0.17454464,EUR,-174.54,23:44:00,356,0,206.65594526000007,20.52%,"3,189.85093",43,75,1290,140,123,0.081,0.03,0.239,-0.049,True,0.01,0.034,True
,35,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,23,79,809,306,371,0.064,0.136,0.158,-0.08600000000000001,True,0.021,0.020999999999999998,True
,36,4,-0.59%,-1.2801790604902217,-0.00562302,EUR,-5.62,18:30:00,4,0,12.236338929999999,1.22%,116.00000,25,85,675,632,121,0.07200000000000001,0.065,0.266,-0.024000000000000007,True,0.023000000000000003,0.047,True
,37,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,76,796,508,201,0.07500000000000001,0.136,0.394,-0.069,True,0.02,0.048,True
,38,4,-1.75%,-2.3439297672575305,-0.01701102,EUR,-17.01,"1 day, 9:45:00",4,0,30.607377680000003,3.02%,116.00000,25,85,1226,508,201,0.057,0.055,0.394,-0.091,True,0.015,0.048,True
,39,0,0.00%,0.0,,EUR,0.00,0:00:00,0,0,0.0,0.00%,,21,75,1295,500,189,0.063,0.07400000000000001,0.275,-0.069,True,0.03,0.028000000000000004,True
,40,4,-2.02%,-1.6112279879305154,-0.01954852,EUR,-19.55,18:30:00,4,0,30.402809249999997,3.02%,116.00000,25,71,1119,155,316,0.025,0.11199999999999999,0.11599999999999999,-0.07600000000000001,True,0.006,0.019000000000000003,True
,41,2,0.80%,0.8031566602074788,0.00381769,EUR,3.82,22:00:00,2,0,0.0,0.00%,118.00000,24,78,533,134,121,0.039,0.11599999999999999,0.238,-0.08600000000000001,True,0.023000000000000003,0.047,True
